id	device	data	time_sent	time_saved
4999	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 22.51737404, ""pressure"": 99795.54688, ""humidity"": 17.05070114, ""iaq"": 74.8394928}"	2025-03-04 15:20:30	2025-03-04 15:20:30
5000	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 27.26401138, ""pressure"": 99780.50781, ""humidity"": 41.43106461, ""iaq"": 51.52485275}"	2025-03-04 15:20:33	2025-03-04 15:20:33
5001	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-04 15:20:39	2025-03-04 15:20:39
5002	esp32/light	"{""analog_read"": 3242, ""test_name"": ""DummyConst5""}"	2025-03-04 15:20:44	2025-03-04 15:20:45
5003	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 23.94408798, ""pressure"": 99801.54688, ""humidity"": 16.52701759, ""iaq"": 84.8156662}"	2025-03-04 15:25:30	2025-03-04 15:25:31
5004	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 27.30906105, ""pressure"": 99786.125, ""humidity"": 41.0696907, ""iaq"": 51.71577835}"	2025-03-04 15:25:33	2025-03-04 15:25:33
5005	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-04 15:25:39	2025-03-04 15:25:39
5006	esp32/light	"{""analog_read"": 3243, ""test_name"": ""DummyConst5""}"	2025-03-04 15:25:45	2025-03-04 15:25:45
5007	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 23.79937935, ""pressure"": 99795.70313, ""humidity"": 15.74900627, ""iaq"": 65.2460022}"	2025-03-04 15:30:31	2025-03-04 15:30:31
5008	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 27.27914238, ""pressure"": 99783.05469, ""humidity"": 40.82539749, ""iaq"": 50}"	2025-03-04 15:30:34	2025-03-04 15:30:34
5009	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-04 15:30:39	2025-03-04 15:30:39
5010	esp32/light	"{""analog_read"": 3243, ""test_name"": ""DummyConst5""}"	2025-03-04 15:30:45	2025-03-04 15:30:45
5011	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 27.16872978, ""pressure"": 99781.07031, ""humidity"": 40.8025856, ""iaq"": 50.84732819}"	2025-03-04 15:35:34	2025-03-04 15:35:34
5012	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-04 15:35:39	2025-03-04 15:35:39
5013	esp32/light	"{""analog_read"": 3240, ""test_name"": ""DummyConst5""}"	2025-03-04 15:35:45	2025-03-04 15:35:45
5014	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 19.44527626, ""pressure"": 99791.9375, ""humidity"": 19.02466965, ""iaq"": 87.59335327}"	2025-03-04 15:40:32	2025-03-04 15:40:32
5015	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 26.98090553, ""pressure"": 99778.55469, ""humidity"": 40.88021469, ""iaq"": 51.4961319}"	2025-03-04 15:40:35	2025-03-04 15:40:35
5016	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-04 15:40:39	2025-03-04 15:40:40
5017	esp32/light	"{""analog_read"": 1659, ""test_name"": ""DummyConst5""}"	2025-03-04 15:40:45	2025-03-04 15:40:45
5018	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 19.38438034, ""pressure"": 99794.86719, ""humidity"": 19.71712494, ""iaq"": 119.7766342}"	2025-03-04 15:45:32	2025-03-04 15:45:32
5019	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 26.88807487, ""pressure"": 99778.04688, ""humidity"": 40.8669281, ""iaq"": 50}"	2025-03-04 15:45:35	2025-03-04 15:45:35
5020	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-04 15:45:39	2025-03-04 15:45:40
5021	esp32/light	"{""analog_read"": 1353, ""test_name"": ""DummyConst5""}"	2025-03-04 15:45:45	2025-03-04 15:45:45
5022	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 26.80558586, ""pressure"": 99780.9375, ""humidity"": 40.80334854, ""iaq"": 52.97367477}"	2025-03-04 15:50:35	2025-03-04 15:50:35
5023	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-04 15:50:39	2025-03-04 15:50:40
5024	esp32/light	"{""analog_read"": 1212, ""test_name"": ""DummyConst5""}"	2025-03-04 15:50:45	2025-03-04 15:50:45
5025	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 18.09218788, ""pressure"": 99794.75781, ""humidity"": 21.93388176, ""iaq"": 87.52323151}"	2025-03-04 15:55:33	2025-03-04 15:55:33
5026	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 26.76268768, ""pressure"": 99781.71875, ""humidity"": 40.69717789, ""iaq"": 52.75233841}"	2025-03-04 15:55:36	2025-03-04 15:55:36
5027	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-04 15:55:39	2025-03-04 15:55:40
5028	esp32/light	"{""analog_read"": 1133, ""test_name"": ""DummyConst5""}"	2025-03-04 15:55:45	2025-03-04 15:55:46
5029	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 17.48301888, ""pressure"": 99802.07031, ""humidity"": 22.43774605, ""iaq"": 60.42307281}"	2025-03-04 16:00:33	2025-03-04 16:00:33
5030	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 26.72258759, ""pressure"": 99779.80469, ""humidity"": 40.49304199, ""iaq"": 51.82982635}"	2025-03-04 16:00:36	2025-03-04 16:00:36
5031	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-04 16:00:39	2025-03-04 16:00:40
5032	esp32/light	"{""analog_read"": 1037, ""test_name"": ""DummyConst5""}"	2025-03-04 16:00:45	2025-03-04 16:00:46
5033	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 16.90412712, ""pressure"": 99792.42188, ""humidity"": 22.18063545, ""iaq"": 51.16919708}"	2025-03-04 16:05:33	2025-03-04 16:05:34
5034	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 26.59475899, ""pressure"": 99790.90625, ""humidity"": 37.37698746, ""iaq"": 50.5871315}"	2025-03-04 16:05:36	2025-03-04 16:05:37
5035	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-04 16:05:40	2025-03-04 16:05:40
5036	esp32/light	"{""analog_read"": 1160, ""test_name"": ""DummyConst5""}"	2025-03-04 16:05:45	2025-03-04 16:05:46
5037	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 16.54130173, ""pressure"": 99804.70313, ""humidity"": 23.00337029, ""iaq"": 58.37782669}"	2025-03-04 16:10:34	2025-03-04 16:10:34
5038	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.65237808, ""pressure"": 99804.58594, ""humidity"": 34.07876968, ""iaq"": 60.7280426}"	2025-03-04 16:10:37	2025-03-04 16:10:37
5039	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-04 16:10:40	2025-03-04 16:10:40
5040	esp32/light	"{""analog_read"": 1178, ""test_name"": ""DummyConst5""}"	2025-03-04 16:10:45	2025-03-04 16:10:46
5041	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 16.60206985, ""pressure"": 99813, ""humidity"": 23.02575493, ""iaq"": 93.41905212}"	2025-03-04 16:15:34	2025-03-04 16:15:34
5042	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.65742493, ""pressure"": 99809.03125, ""humidity"": 32.97544861, ""iaq"": 52.17787933}"	2025-03-04 16:15:37	2025-03-04 16:15:37
5043	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-04 16:15:40	2025-03-04 16:15:40
5044	esp32/light	"{""analog_read"": 1018, ""test_name"": ""DummyConst5""}"	2025-03-04 16:15:45	2025-03-04 16:15:46
5045	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 16.72899818, ""pressure"": 99807.01563, ""humidity"": 23.19452667, ""iaq"": 108.2654724}"	2025-03-04 16:20:35	2025-03-04 16:20:35
5046	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.53219795, ""pressure"": 99807.6875, ""humidity"": 31.65763092, ""iaq"": 50}"	2025-03-04 16:20:38	2025-03-04 16:20:38
5047	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-04 16:20:40	2025-03-04 16:20:40
5048	esp32/light	"{""analog_read"": 943, ""test_name"": ""DummyConst5""}"	2025-03-04 16:20:46	2025-03-04 16:20:46
5049	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 16.74194336, ""pressure"": 99802.39844, ""humidity"": 23.87692833, ""iaq"": 157.264389}"	2025-03-04 16:25:35	2025-03-04 16:25:35
5050	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.22626114, ""pressure"": 99797.23438, ""humidity"": 30.57614326, ""iaq"": 51.55357742}"	2025-03-04 16:25:38	2025-03-04 16:25:38
5051	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-04 16:25:40	2025-03-04 16:25:40
5052	esp32/light	"{""analog_read"": 1880, ""test_name"": ""DummyConst5""}"	2025-03-04 16:25:46	2025-03-04 16:25:46
5053	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 16.81039047, ""pressure"": 99801.17969, ""humidity"": 23.14086151, ""iaq"": 130.4928589}"	2025-03-04 16:30:36	2025-03-04 16:30:36
5054	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.01071167, ""pressure"": 99798.78906, ""humidity"": 28.10319901, ""iaq"": 55.79444504}"	2025-03-04 16:30:39	2025-03-04 16:30:39
5055	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-04 16:30:40	2025-03-04 16:30:40
5056	esp32/light	"{""analog_read"": 1849, ""test_name"": ""DummyConst5""}"	2025-03-04 16:30:46	2025-03-04 16:30:46
5057	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 16.58430099, ""pressure"": 99810.36719, ""humidity"": 23.69080353, ""iaq"": 135.4560242}"	2025-03-04 16:35:36	2025-03-04 16:35:36
5058	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 24.85030174, ""pressure"": 99802.25781, ""humidity"": 27.36200905, ""iaq"": 51.88811493}"	2025-03-04 16:35:39	2025-03-04 16:35:39
5059	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-04 16:35:40	2025-03-04 16:35:41
5060	esp32/light	"{""analog_read"": 1581, ""test_name"": ""DummyConst5""}"	2025-03-04 16:35:46	2025-03-04 16:35:46
5061	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 16.23651505, ""pressure"": 99812.03906, ""humidity"": 23.52471924, ""iaq"": 99.06819153}"	2025-03-04 16:40:36	2025-03-04 16:40:36
5062	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 24.9506855, ""pressure"": 99798.03125, ""humidity"": 28.65054893, ""iaq"": 52.34177017}"	2025-03-04 16:40:39	2025-03-04 16:40:40
5063	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-04 16:40:40	2025-03-04 16:40:40
5064	esp32/light	"{""analog_read"": 1223, ""test_name"": ""DummyConst5""}"	2025-03-04 16:40:46	2025-03-04 16:40:46
5065	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 15.91167641, ""pressure"": 99802.16406, ""humidity"": 23.24319649, ""iaq"": 103.1907883}"	2025-03-04 16:45:37	2025-03-04 16:45:37
5066	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.62227058, ""pressure"": 99790.53906, ""humidity"": 28.88672638, ""iaq"": 54.49092865}"	2025-03-04 16:45:40	2025-03-04 16:45:40
5067	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-04 16:45:40	2025-03-04 16:45:41
5068	esp32/light	"{""analog_read"": 1066, ""test_name"": ""DummyConst5""}"	2025-03-04 16:45:46	2025-03-04 16:45:46
5069	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 15.62723255, ""pressure"": 99811.09375, ""humidity"": 23.49854088, ""iaq"": 80.25039673}"	2025-03-04 16:50:37	2025-03-04 16:50:37
5070	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.73502541, ""pressure"": 99796.64844, ""humidity"": 28.78576469, ""iaq"": 52.40681839}"	2025-03-04 16:50:40	2025-03-04 16:50:40
5071	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-04 16:50:40	2025-03-04 16:50:41
5072	esp32/light	"{""analog_read"": 1037, ""test_name"": ""DummyConst5""}"	2025-03-04 16:50:46	2025-03-04 16:50:46
5073	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 15.32771778, ""pressure"": 99803.6875, ""humidity"": 23.9585247, ""iaq"": 90.87706757}"	2025-03-04 16:55:38	2025-03-04 16:55:38
5074	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.69495392, ""pressure"": 99792.52344, ""humidity"": 28.785429, ""iaq"": 54.07951355}"	2025-03-04 16:55:41	2025-03-04 16:55:41
5075	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-04 16:55:41	2025-03-04 16:55:41
5076	esp32/light	"{""analog_read"": 937, ""test_name"": ""DummyConst5""}"	2025-03-04 16:55:46	2025-03-04 16:55:46
5077	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 15.06386852, ""pressure"": 99805.35938, ""humidity"": 24.23891068, ""iaq"": 85.45010376}"	2025-03-04 17:00:38	2025-03-04 17:00:38
5078	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-04 17:00:41	2025-03-04 17:00:41
5079	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.67518997, ""pressure"": 99790.99219, ""humidity"": 28.25229836, ""iaq"": 51.52231979}"	2025-03-04 17:00:41	2025-03-04 17:00:41
5080	esp32/light	"{""analog_read"": 889, ""test_name"": ""DummyConst5""}"	2025-03-04 17:00:46	2025-03-04 17:00:47
5081	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 14.70596886, ""pressure"": 99793.53906, ""humidity"": 24.26949501, ""iaq"": 47.69962311}"	2025-03-04 17:05:38	2025-03-04 17:05:38
5082	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-04 17:05:41	2025-03-04 17:05:41
5083	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.50945091, ""pressure"": 99781.33594, ""humidity"": 28.15485382, ""iaq"": 50.89632797}"	2025-03-04 17:05:41	2025-03-04 17:05:41
5084	esp32/light	"{""analog_read"": 751, ""test_name"": ""DummyConst5""}"	2025-03-04 17:05:46	2025-03-04 17:05:47
5085	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 14.62733841, ""pressure"": 99790.80469, ""humidity"": 24.39473915, ""iaq"": 51.62876511}"	2025-03-04 17:10:39	2025-03-04 17:10:39
5086	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-04 17:10:41	2025-03-04 17:10:41
5087	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.67487144, ""pressure"": 99779.14844, ""humidity"": 28.13899612, ""iaq"": 52.77684021}"	2025-03-04 17:10:42	2025-03-04 17:10:42
5088	esp32/light	"{""analog_read"": 686, ""test_name"": ""DummyConst5""}"	2025-03-04 17:10:46	2025-03-04 17:10:47
5089	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 14.55372238, ""pressure"": 99790.625, ""humidity"": 24.80533791, ""iaq"": 82.26607513}"	2025-03-04 17:15:39	2025-03-04 17:15:39
5090	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-04 17:15:41	2025-03-04 17:15:41
5091	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.63007545, ""pressure"": 99778.25, ""humidity"": 27.76862717, ""iaq"": 51.68283081}"	2025-03-04 17:15:42	2025-03-04 17:15:42
5092	esp32/light	"{""analog_read"": 568, ""test_name"": ""DummyConst5""}"	2025-03-04 17:15:46	2025-03-04 17:15:47
5093	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 14.22349358, ""pressure"": 99799.46875, ""humidity"": 25.30560875, ""iaq"": 58.6802597}"	2025-03-04 17:20:40	2025-03-04 17:20:40
5094	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-04 17:20:41	2025-03-04 17:20:41
5095	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.41433525, ""pressure"": 99785.28906, ""humidity"": 28.11876297, ""iaq"": 51.05514908}"	2025-03-04 17:20:43	2025-03-04 17:20:43
5096	esp32/light	"{""analog_read"": 350, ""test_name"": ""DummyConst5""}"	2025-03-04 17:20:46	2025-03-04 17:20:47
5097	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 14.15504932, ""pressure"": 99796.75781, ""humidity"": 25.56735229, ""iaq"": 73.44811249}"	2025-03-04 17:25:40	2025-03-04 17:25:40
5098	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-04 17:25:41	2025-03-04 17:25:41
5099	esp8266/inside	"{""test_name"": ""DummyConst5"", ""temperature"": 25.26645851, ""pressure"": 99785.875, ""humidity"": 27.71986771, ""iaq"": 51.24607086}"	2025-03-04 17:25:43	2025-03-04 17:25:43
5100	esp32/light	"{""analog_read"": 207, ""test_name"": ""DummyConst5""}"	2025-03-04 17:25:47	2025-03-04 17:25:47
5101	esp8266/outside	"{""test_name"": ""DummyConst5"", ""temperature"": 14.01546288, ""pressure"": 99796.09375, ""humidity"": 25.7642746, ""iaq"": 88.14246368}"	2025-03-04 17:30:40	2025-03-04 17:30:40
5102	esp32/window	"{""test_name"": ""DummyConst5"", ""blinds_1"": 1, ""blinds_2"": 1, ""window"": 1}"	2025-03-04 17:30:41	2025-03-04 17:30:42
